TimeStamp in ms:	Pressure in Pa:	Systeme State:	Alarm State:	
1588809670500 	9326813 	13 	0
1588809670750 	9328527 	13 	0
1588809671000 	9329972 	13 	0
1588809671250 	9331695 	13 	0
1588809671500 	9334051 	13 	0
1588809671750 	9336245 	13 	0
1588809672000 	9338168 	13 	0
1588809672250 	9339597 	13 	0
1588809672500 	9342933 	13 	0
1588809672750 	9344909 	13 	0
1588809673000 	9347859 	13 	0
1588809673250 	9349390 	13 	0
1588809673500 	9352792 	13 	0
1588809673750 	9355795 	13 	0
1588809674000 	9357960 	13 	0
1588809674250 	9359537 	13 	0
1588809674500 	9361358 	13 	0
1588809674750 	9362545 	13 	0
1588809675000 	9365697 	13 	0
1588809675250 	9367289 	13 	0
1588809675500 	9370035 	13 	0
1588809675750 	9372492 	13 	0
1588809676000 	9374533 	13 	0
1588809676250 	9376786 	13 	0
1588809676500 	9378595 	13 	0
1588809676750 	9380463 	13 	0
1588809677000 	9383054 	13 	0
1588809677250 	9386213 	13 	0
1588809677500 	9388527 	13 	0
1588809677750 	9390120 	13 	0
1588809678000 	9392885 	13 	0
1588809678250 	9394184 	13 	0
1588809678500 	9396114 	13 	0
1588809678750 	9399374 	13 	0
1588809679000 	9401436 	13 	0
1588809679250 	9404753 	13 	0
1588809679500 	9406391 	13 	0
1588809679750 	9408953 	13 	0
1588809680000 	9412266 	13 	0
1588809680250 	9415798 	13 	0
1588809680500 	9419320 	13 	0
1588809680750 	9422157 	13 	0
1588809681000 	9423784 	13 	0
1588809681250 	9426826 	13 	0
1588809681500 	9429211 	13 	0
1588809681750 	9431940 	13 	0
1588809682000 	9435486 	13 	0
1588809682250 	9438611 	13 	0
1588809682500 	9440998 	13 	0
1588809682750 	9444193 	13 	0
1588809683000 	9447363 	13 	0
1588809683250 	9448974 	13 	0
1588809683500 	9450659 	13 	0
1588809683750 	9452329 	13 	0
1588809684000 	9455043 	13 	0
1588809684250 	9457378 	13 	0
1588809684500 	9459311 	13 	0
1588809684750 	9463001 	13 	0
1588809685000 	9464906 	13 	0
1588809685250 	9467954 	13 	0
1588809685500 	9469628 	13 	0
1588809685750 	9472643 	13 	0
1588809686000 	9475326 	13 	0
1588809686250 	9477691 	13 	0
1588809686500 	9480317 	13 	0
1588809686750 	9483368 	13 	0
1588809687000 	9487346 	13 	0
1588809687250 	9489896 	13 	0
1588809687500 	9491819 	13 	0
1588809687750 	9495412 	13 	0
1588809688000 	9497785 	13 	0
1588809688250 	9501477 	13 	0
1588809688500 	9504178 	13 	0
1588809688750 	9506404 	13 	0
1588809689000 	9509390 	13 	0
1588809689250 	9513119 	13 	0
1588809689500 	9516705 	13 	0
1588809689750 	9519458 	13 	0
1588809690000 	9522522 	13 	0
1588809690250 	9524697 	13 	0
1588809690500 	9528801 	13 	0
1588809690750 	9530779 	13 	0
1588809691000 	9532700 	13 	0
1588809691250 	9534650 	13 	0
1588809691500 	9536849 	13 	0
1588809691750 	9539589 	13 	0
1588809692000 	9542403 	13 	0
1588809692250 	9544618 	13 	0
1588809692500 	9547156 	13 	0
1588809692750 	9549937 	13 	0
1588809693000 	9553252 	13 	0
1588809693250 	9555506 	13 	0
1588809693500 	9559769 	13 	0
1588809693750 	9563787 	13 	0
1588809694000 	9566416 	13 	0
1588809694250 	9568904 	13 	0
1588809694500 	9571997 	13 	0
1588809694750 	9574619 	13 	0
1588809695000 	9577625 	13 	0
1588809695250 	9581035 	13 	0
1588809695500 	9585197 	13 	0
1588809695750 	9588948 	13 	0
1588809696000 	9592011 	13 	0
1588809696250 	9594824 	13 	0
1588809696500 	9599142 	13 	0
1588809696750 	9603521 	13 	0
1588809697000 	9607945 	13 	0
1588809697250 	9611320 	13 	0
1588809697500 	9613912 	13 	0
1588809697750 	9616850 	13 	0
1588809698000 	9620240 	13 	0
1588809698250 	9622800 	13 	0
1588809698500 	9625970 	13 	0
1588809698750 	9629088 	13 	0
1588809699000 	9631830 	13 	0
1588809699250 	9634984 	13 	0
1588809699500 	9639052 	13 	0
1588809699750 	9642371 	13 	0
1588809700000 	9645927 	13 	0
1588809700250 	9650274 	13 	0
1588809700500 	9654541 	13 	0
1588809700750 	9659131 	13 	0
1588809701000 	9661475 	13 	0
1588809701250 	9665301 	13 	0
1588809701500 	9669631 	13 	0
1588809701750 	9672281 	13 	0
1588809702000 	9676695 	13 	0
1588809702250 	9679806 	13 	0
1588809702500 	9683155 	13 	0
1588809702750 	9685805 	13 	0
1588809703000 	9689946 	13 	0
1588809703250 	9693100 	13 	0
1588809703500 	9697534 	13 	0
1588809703750 	9699923 	13 	0
1588809704000 	9703464 	13 	0
1588809704250 	9707378 	13 	0
1588809704500 	9711697 	13 	0
1588809704750 	9715237 	13 	0
1588809705000 	9720056 	13 	0
1588809705250 	9722520 	13 	0
1588809705500 	9726504 	13 	0
1588809705750 	9730242 	13 	0
1588809706000 	9733185 	13 	0
1588809706250 	9735846 	13 	0
1588809706500 	9740162 	13 	0
1588809706750 	9743732 	13 	0
1588809707000 	9746984 	13 	0
1588809707250 	9750393 	13 	0
1588809707500 	9755131 	13 	0
1588809707750 	9759342 	13 	0
1588809708000 	9762525 	13 	0
1588809708250 	9766508 	13 	0
1588809708500 	9770712 	13 	0
1588809708750 	9773595 	13 	0
1588809709000 	9776784 	13 	0
1588809709250 	9780251 	13 	0
1588809709500 	9783540 	13 	0
1588809709750 	9788452 	13 	0
1588809710000 	9792763 	13 	0
1588809710250 	9796686 	13 	0
1588809710500 	9799557 	13 	0
1588809710750 	9802869 	13 	0
1588809711000 	9807196 	13 	0
1588809711250 	9811738 	13 	0
1588809711500 	9815101 	13 	0
1588809711750 	9818218 	13 	0
1588809712000 	9821476 	13 	0
1588809712250 	9826348 	13 	0
1588809712500 	9830183 	13 	0
1588809712750 	9833461 	13 	0
1588809713000 	9838387 	13 	0
1588809713250 	9841383 	13 	0
1588809713500 	9845529 	13 	0
1588809713750 	9850516 	13 	0
1588809714000 	9855681 	13 	0
1588809714250 	9859274 	13 	0
1588809714500 	9862511 	13 	0
1588809714750 	9866033 	13 	0
1588809715000 	9870528 	13 	0
1588809715250 	9875550 	13 	0
1588809715500 	9880753 	13 	0
1588809715750 	9885452 	13 	0
1588809716000 	9889501 	13 	0
1588809716250 	9893504 	13 	0
1588809716500 	9898071 	13 	0
1588809716750 	9902281 	13 	0
1588809717000 	9907146 	13 	0
1588809717250 	9912385 	13 	0
1588809717500 	9916041 	13 	0
1588809717750 	9920174 	13 	0
1588809718000 	9923846 	13 	0
1588809718250 	9927270 	13 	0
1588809718500 	9931600 	13 	0
1588809718750 	9936907 	13 	0
1588809719000 	9942170 	13 	0
1588809719250 	9946711 	13 	0
1588809719500 	9950006 	13 	0
1588809719750 	9955350 	13 	0
1588809720000 	9959608 	13 	0
1588809720250 	9963971 	13 	0
1588809720500 	9967413 	13 	0
1588809720750 	9970968 	13 	0
1588809721000 	9975087 	13 	0
1588809721250 	9979422 	13 	0
1588809721500 	9982734 	13 	0
1588809721750 	9986776 	13 	0
1588809722000 	9991412 	13 	0
1588809722250 	9997058 	13 	0
1588809722500 	10001305 	13 	1
1588809722750 	10004706 	13 	1
1588809723000 	10010067 	13 	1
1588809723250 	10014196 	13 	1
1588809723500 	10019364 	13 	1
1588809723750 	10023428 	13 	1
1588809724000 	10028166 	13 	1
1588809724250 	10032529 	13 	1
1588809724500 	10037383 	13 	1
1588809724750 	10041589 	13 	1
1588809725000 	10045344 	13 	1
1588809725250 	10050832 	13 	1
1588809725500 	10055699 	13 	1
1588809725750 	10060077 	13 	1
1588809726000 	10065927 	13 	1
1588809726250 	10069649 	13 	1
1588809726500 	10073846 	13 	1
1588809726750 	10079022 	13 	1
1588809727000 	10083734 	13 	1
1588809727250 	10087662 	13 	1
1588809727500 	10092640 	13 	1
1588809727750 	10098457 	13 	1
1588809728000 	10103146 	13 	1
1588809728250 	10107950 	13 	1
1588809728500 	10113694 	13 	1
1588809728750 	10119297 	13 	1
1588809729000 	10125217 	13 	1
1588809729250 	10130604 	13 	1
1588809729500 	10136566 	13 	1
1588809729750 	10141461 	13 	1
1588809730000 	10146820 	13 	1
1588809730250 	10151341 	13 	1
1588809730500 	10156337 	13 	1
1588809730750 	10161343 	13 	1
1588809731000 	10166230 	13 	1
1588809731250 	10170653 	13 	1
1588809731500 	10175933 	13 	1
1588809731750 	10179790 	13 	1
1588809732000 	10184759 	13 	1
1588809732250 	10189098 	13 	1
1588809732500 	10193316 	13 	1
1588809732750 	10198182 	13 	1
1588809733000 	10204138 	13 	1
1588809733250 	10209775 	13 	1
1588809733500 	10215557 	13 	1
1588809733750 	10221051 	13 	1
1588809734000 	10226484 	13 	1
1588809734250 	10232525 	13 	1
1588809734500 	10237276 	13 	1
1588809734750 	10241489 	13 	1
1588809735000 	10247913 	13 	1
1588809735250 	10254084 	13 	1
1588809735500 	10260107 	13 	1
1588809735750 	10265233 	13 	1
1588809736000 	10270207 	13 	1
1588809736250 	10275958 	13 	1
1588809736500 	10280222 	13 	1
1588809736750 	10284637 	13 	1
1588809737000 	10289282 	13 	1
1588809737250 	10295838 	13 	1
1588809737500 	10301464 	13 	1
1588809737750 	10307770 	13 	1
1588809738000 	10312298 	13 	1
1588809738250 	10316793 	13 	1
1588809738500 	10321964 	13 	1
1588809738750 	10327189 	13 	1
1588809739000 	10331904 	13 	1
1588809739250 	10338138 	13 	1
1588809739500 	10342987 	13 	1
1588809739750 	10348425 	13 	1
1588809740000 	10354738 	13 	1
1588809740250 	10359968 	13 	1
1588809740500 	10366420 	13 	1
1588809740750 	10372421 	13 	1
1588809741000 	10377006 	13 	1
1588809741250 	10382509 	13 	1
1588809741500 	10387693 	13 	1
1588809741750 	10393787 	13 	1
1588809742000 	10398991 	13 	1
1588809742250 	10404538 	13 	1
1588809742500 	10410442 	13 	1
1588809742750 	10415687 	13 	1
1588809743000 	10420572 	13 	1
1588809743250 	10426087 	13 	1
1588809743500 	10431997 	13 	1
1588809743750 	10437380 	13 	1
1588809744000 	10444156 	13 	1
1588809744250 	10450262 	13 	1
1588809744500 	10455978 	13 	1
1588809744750 	10460901 	13 	1
1588809745000 	10466613 	13 	1
1588809745250 	10471427 	13 	1
1588809745500 	10476115 	13 	1
1588809745750 	10482199 	13 	1
1588809746000 	10486902 	13 	1
1588809746250 	10492140 	13 	1
1588809746500 	10498813 	13 	1
1588809746750 	10503582 	13 	1
1588809747000 	10510389 	13 	1
1588809747250 	10515267 	13 	1
1588809747500 	10521215 	13 	1
1588809747750 	10527660 	13 	1
1588809748000 	10533044 	13 	1
1588809748250 	10538739 	13 	1
1588809748500 	10544030 	13 	1
1588809748750 	10549665 	13 	1
1588809749000 	10556515 	13 	1
1588809749250 	10562192 	13 	1
1588809749500 	10569107 	13 	1
1588809749750 	10574367 	13 	1
1588809750000 	10581182 	13 	1
1588809750250 	10586741 	13 	1
1588809750500 	10592373 	13 	1
1588809750750 	10599620 	13 	1
1588809751000 	10606227 	13 	1
1588809751250 	10612850 	13 	1
1588809751500 	10618582 	13 	1
1588809751750 	10624616 	13 	1
1588809752000 	10629980 	13 	1
1588809752250 	10636884 	13 	1
1588809752500 	10643283 	13 	1
1588809752750 	10649786 	13 	1
1588809753000 	10656480 	13 	1
1588809753250 	10662527 	13 	1
1588809753500 	10670060 	13 	1
1588809753750 	10676824 	13 	1
1588809754000 	10683023 	13 	1
1588809754250 	10689727 	13 	1
1588809754500 	10696579 	13 	1
1588809754750 	10702488 	13 	1
